,var_name,lr_importance,rf_importance
0,standardscaler__year,121906.4365945175,0.2011828935620872
1,standardscaler__km_driven,11148.512297201902,0.05685158339421092
2,standardscaler__mileage,28519.92705527984,0.10264190249778511
3,standardscaler__seats,67849.47060884949,0.024261807258893396
4,onehotencoder__fuel_CNG,110007.58464242227,5.9469029633789525e-05
5,onehotencoder__fuel_Diesel,166057.84154806263,0.0585071784026228
6,onehotencoder__fuel_LPG,44626.80379773374,1.456723896428815e-05
7,onehotencoder__fuel_Petrol,11423.453108003363,0.020505834738804157
8,onehotencoder__seller_type_Dealer,18385.641425916343,0.0052311965955439315
9,onehotencoder__seller_type_Individual,9067.27541735419,0.002648449014390568
10,onehotencoder__seller_type_Trustmark Dealer,27452.916843408486,6.482650089065852e-05
11,onehotencoder__transmission_Automatic,159724.89009472367,0.08078803817332862
12,onehotencoder__transmission_Manual,159724.89009471377,0.1349249676679317
13,onehotencoder__owner_First Owner,282958.94957339787,0.0019101848145676404
14,onehotencoder__owner_Fourth & Above Owner,321814.0380566068,0.00022046779453458305
15,onehotencoder__owner_Second Owner,313624.0596764054,0.0011635907623867342
16,onehotencoder__owner_Test Drive Car,1236637.4177854746,0.00904455739321709
17,onehotencoder__owner_Third Owner,318240.37047903065,0.0003543960949428286
18,onehotencoder__Brand_Ambassador,174364.2510106014,5.415058797745351e-07
19,onehotencoder__Brand_Ashok,62710.24101241585,1.209856278377704e-06
20,onehotencoder__Brand_Audi,456154.401119423,0.0022543321215887607
21,onehotencoder__Brand_BMW,795453.9482701559,0.01943765329899459
22,onehotencoder__Brand_Chevrolet,462042.30753833713,0.0024315239671697107
23,onehotencoder__Brand_Daewoo,80726.56975202053,3.3059588427980014e-07
24,onehotencoder__Brand_Datsun,755337.5063651148,0.00010536849295217158
25,onehotencoder__Brand_Fiat,1013178.7829969423,0.0001673903069809723
26,onehotencoder__Brand_Force,78825.36780809757,3.314443368617805e-05
27,onehotencoder__Brand_Ford,439858.32222791715,0.0007622086725513576
28,onehotencoder__Brand_Honda,527486.6803193311,0.001015521283392425
29,onehotencoder__Brand_Hyundai,256277.91160019586,0.0013475340307555384
30,onehotencoder__Brand_Isuzu,252709.63455139362,5.4388057156043036e-05
31,onehotencoder__Brand_Jaguar,366088.6652478838,0.002107911002636598
32,onehotencoder__Brand_Jeep,716920.957699784,0.0024241851812452806
33,onehotencoder__Brand_Kia,41571.73668780287,4.2197889161976445e-05
34,onehotencoder__Brand_Land,386179.7778544361,0.0007949408934252958
35,onehotencoder__Brand_Lexus,1810528.4893657675,0.0040462741360669345
36,onehotencoder__Brand_MG,28358.17075620247,0.00036358046292063847
37,onehotencoder__Brand_Mahindra,64448.510572838655,0.0014835749668312497
38,onehotencoder__Brand_Maruti,183510.77655818837,0.0015116926941096775
39,onehotencoder__Brand_Mercedes-Benz,676073.8616614055,0.003893976900004424
40,onehotencoder__Brand_Mitsubishi,104220.58362740983,0.0002798197195201686
41,onehotencoder__Brand_Nissan,657331.3608221875,9.92200005667848e-05
42,onehotencoder__Brand_Opel,257210.42399019102,5.230647393933103e-09
43,onehotencoder__Brand_Renault,914879.3201078962,0.00015127568664506126
44,onehotencoder__Brand_Skoda,726453.272930633,0.005204791494201476
45,onehotencoder__Brand_Tata,232498.77894501504,0.004503929081110654
46,onehotencoder__Brand_Toyota,52095.6766100385,0.006299608623631567
47,onehotencoder__Brand_Volkswagen,820411.1359382292,0.0054671412126985446
48,onehotencoder__Brand_Volvo,2130423.8541331897,0.013369193473226664
49,onehotencoder__Model_3 Series 320d,600384.913592656,4.742936615527244e-05
50,onehotencoder__Model_3 Series 320d Corporate Edition,1498710.163057697,6.93875537489248e-06
51,onehotencoder__Model_3 Series 320d GT Luxury Line,377039.0258189074,0.0001254779739192478
52,onehotencoder__Model_3 Series 320d Highline,1198960.6092196186,1.2597712526291193e-05
53,onehotencoder__Model_3 Series 320d Luxury Line,903285.1877828265,0.0001056197226106986
54,onehotencoder__Model_3 Series 320d Luxury Line Plus,6146.7317309156215,0.00017807687543599046
55,onehotencoder__Model_3 Series 320d Luxury Plus,1083667.4383697202,1.7097112467036185e-05
56,onehotencoder__Model_3 Series 320d Prestige,839430.1950007387,0.00010021469782071831
57,onehotencoder__Model_3 Series 320d Sedan,1268060.4584373785,4.220720006205496e-05
58,onehotencoder__Model_3 Series GT Luxury Line,397019.3733217558,0.000656622167639555
59,onehotencoder__Model_5 Series 520d,1127861.6660845922,3.3578758626914694e-06
60,onehotencoder__Model_5 Series 520d Luxury Line,1466437.7547204802,0.00010495586324563672
61,onehotencoder__Model_5 Series 520d Sport Line,618773.3786043257,0.0004003488222892961
62,onehotencoder__Model_5 Series 523i,1102607.946114246,4.267980336937241e-06
63,onehotencoder__Model_5 Series 525d,1320534.5928402217,3.773434694976685e-07
64,onehotencoder__Model_5 Series 530d,7.683411240577698e-09,0.0
65,onehotencoder__Model_6 Series GT 630d Luxury Line,3179240.7265586853,0.013052516791144511
66,onehotencoder__Model_7 Series 730Ld,849316.176918159,5.759213205793236e-05
67,onehotencoder__Model_800 AC,25117.52212015726,2.846640678663954e-06
68,onehotencoder__Model_800 AC BSII,315.61103772491333,2.1808907516520662e-08
69,onehotencoder__Model_800 AC BSIII,40918.72309042187,7.069884697155782e-06
70,onehotencoder__Model_800 AC LPG,74972.52828538498,3.2432962386111424e-08
71,onehotencoder__Model_800 AC Uniq,15378.366654326004,7.522631324024219e-09
72,onehotencoder__Model_800 DX,195865.88595929235,1.38572018545105e-07
73,onehotencoder__Model_800 DX 5 Speed,111310.39253617829,2.2210480315640012e-07
74,onehotencoder__Model_800 DX BSII,70996.26902472606,3.106769695388311e-09
75,onehotencoder__Model_800 EX,42986.905585137254,6.184980215320797e-08
76,onehotencoder__Model_800 EX 5 Speed,43568.262012880834,5.445157203976085e-07
77,onehotencoder__Model_800 EX BSII,5727.84626379417,3.483748047172266e-08
78,onehotencoder__Model_800 Std,7498.873449319901,1.2822843263419168e-06
79,onehotencoder__Model_800 Std BSII,13630.596709558682,1.2033371077462881e-07
80,onehotencoder__Model_800 Std BSIII,7384.051711088221,2.3479839881856593e-08
81,onehotencoder__Model_800 Std MPFi,23362.832266965022,1.90781288491204e-07
82,onehotencoder__Model_800 Uniq,85534.08417202398,6.4351576606411785e-06
83,onehotencoder__Model_A-Star Lxi,5885.554218010977,1.9700860568110159e-07
84,onehotencoder__Model_A-Star Vxi,6464.001247458946,1.9670139086057555e-05
85,onehotencoder__Model_A-Star Zxi,2.444721758365631e-09,0.0
86,onehotencoder__Model_A3 35 TDI Premium Plus,4.190951585769653e-09,0.0
87,onehotencoder__Model_A3 40 TFSI Premium,351001.97884341545,0.00032549370730620866
88,onehotencoder__Model_A4 1.8 TFSI,1012825.4544916226,8.251181531671657e-06
89,onehotencoder__Model_A4 2.0 TDI,541278.5834274923,4.4988764565605776e-05
90,onehotencoder__Model_A4 2.0 TDI 177 Bhp Premium Plus,868259.7768421539,1.2524548866080214e-05
91,onehotencoder__Model_A4 35 TDI Premium Plus,447646.1261678011,8.421145080823362e-05
92,onehotencoder__Model_A6 2.0 TDI,86946.54263706325,0.00010683450412349738
93,onehotencoder__Model_A6 2.0 TDI  Design Edition,408979.78115420265,6.4567104596151664e-06
94,onehotencoder__Model_A6 2.0 TDI Premium Plus,55855.29523299812,1.2453011896186004e-05
95,onehotencoder__Model_A6 2.0 TDI Technology,315382.5810408836,7.663158600603072e-06
96,onehotencoder__Model_A6 35 TFSI Matrix,2610478.086086022,0.016070708853425243
97,onehotencoder__Model_Accent CRDi,92814.80881261623,1.1856447910851072e-06
98,onehotencoder__Model_Accent DLS,37369.65390176172,4.821629750928981e-07
99,onehotencoder__Model_Accent Executive,102928.41988407256,1.8522420132849256e-05
100,onehotencoder__Model_Accent Executive CNG,55828.42170291582,2.3058014604580744e-09
101,onehotencoder__Model_Accent Executive LPG,42814.552856569775,5.367965775310285e-08
102,onehotencoder__Model_Accent GLE,20211.493215621827,2.457399816118175e-06
103,onehotencoder__Model_Accent GLE CNG,81107.92017117591,8.154359235182446e-08
104,onehotencoder__Model_Accent GLS,42164.7892818324,4.833510034368371e-07
105,onehotencoder__Model_Accent GLS 1.6,1.979060471057892e-09,0.0
